"Desenvolvedor","Data","Commits","Total"
"Florian Forster","2011-09-01",1,3922
"Fabien Wernli","2011-10-01",1,3922
"Jerome Renard","2011-10-01",1,3922
"Florian Forster","2011-11-01",3,3922
"Florian Forster","2011-12-01",1,3922
"Jerome Renard","2011-12-01",1,3922
"Michael Stapelberg","2011-12-01",1,3922
"Chris Lundquist","2012-01-01",7,3922
"Florian Forster","2012-01-01",7,3922
"Sebastian Harl","2012-01-01",1,3922
"Sven Trenkel","2012-01-01",2,3922
"Florian Forster","2012-02-01",43,3922
"Florian Forster","2012-03-01",33,3922
"Sebastian Harl","2012-03-01",2,3922
"Florian Forster","2012-04-01",4,3922
"Florian Forster","2012-05-01",4,3922
"Gerrie Roos","2012-05-01",1,3922
"Sebastian Harl","2012-05-01",1,3922
"Florian Forster","2012-06-01",11,3922
"Chris Lundquist","2012-07-01",1,3922
"Florian Forster","2012-07-01",5,3922
"Florian Forster","2012-08-01",4,3922
"Sebastian Harl","2012-08-01",6,3922
"Thomas Meson","2012-08-01",1,3922
"Florian Forster","2012-09-01",28,3922
"Florian Forster","2012-10-01",12,3922
"Sebastian Harl","2012-10-01",6,3922
"Sven Trenkel","2012-10-01",1,3922
"Ed Schouten","2012-11-01",1,3922
"Florian Forster","2012-11-01",23,3922
"Sebastian Harl","2012-11-01",11,3922
"Florian Forster","2012-12-01",4,3922
"Pierre-Yves Ritschard","2012-12-01",2,3922
"Florian Forster","2013-01-01",40,3922
"Pierre-Yves Ritschard","2013-01-01",1,3922
"Sebastian Harl","2013-01-01",1,3922
"Florian Forster","2013-02-01",18,3922
"Kris Nielander","2013-02-01",3,3922
"Florian Forster","2013-03-01",15,3922
"Tommie Gannert","2013-03-01",1,3922
"Chad Malfait","2013-04-01",8,3922
"Evan Felix","2013-04-01",5,3922
"Florian Forster","2013-04-01",18,3922
"Evan Felix","2013-05-01",7,3922
"Florian Forster","2013-05-01",26,3922
"Marc Fournier","2013-05-01",1,3922
"Florian Forster","2013-06-01",12,3922
"Pierre-Yves Ritschard","2013-06-01",1,3922
"Alex Deymo","2013-07-01",1,3922
"Bert Vermeulen","2013-07-01",8,3922
"Florian Forster","2013-07-01",21,3922
"Alex Deymo","2013-08-01",1,3922
"Bert Vermeulen","2013-08-01",1,3922
"Florian Forster","2013-08-01",7,3922
"Marc Fournier","2013-08-01",3,3922
"Alex Deymo","2013-09-01",1,3922
"Florian Forster","2013-09-01",1,3922
"Florian Forster","2014-01-01",14,3922
"Pierre-Yves Ritschard","2014-01-01",2,3922
"Tim Laszlo","2014-02-01",1,3922
"Benjamin Gilbert","2014-04-01",4,3922
"Daryder","2014-04-01",2,3922
"Kevin Bowling","2014-04-01",2,3922
"Sebastian Harl","2014-04-01",1,3922
"Benjamin Gilbert","2014-05-01",1,3922
"Daryder","2014-05-01",1,3922
"Florian Forster","2014-05-01",1,3922
"Kevin Bowling","2014-05-01",6,3922
"Ruben Kerkhof","2014-05-01",1,3922
"Daryder","2014-06-01",1,3922
"Kevin Bowling","2014-06-01",4,3922
"Manuel Luis Sanmartin Rozada","2014-06-01",1,3922
"Marc Fournier","2014-06-01",3,3922
"Vincent Brillault","2014-06-01",3,3922
"Florian Forster","2014-07-01",4,3922
"Manuel Luis Sanmartin Rozada","2014-07-01",1,3922
"Marc Fournier","2014-07-01",7,3922
"Pierre-Yves Ritschard","2014-07-01",12,3922
"Sebastian Harl","2014-07-01",1,3922
"Tim Laszlo","2014-07-01",3,3922
"Benjamin Gilbert","2014-08-01",1,3922
"Florian Forster","2014-08-01",4,3922
"Kevin Bowling","2014-08-01",2,3922
"Marc Fournier","2014-08-01",7,3922
"Tim Laszlo","2014-08-01",1,3922
"Tomas","2014-08-01",2,3922
"Vincent Brillault","2014-08-01",34,3922
"Florian Forster","2014-09-01",36,3922
"Marc Fournier","2014-09-01",3,3922
"Vincent Brillault","2014-09-01",16,3922
"Daryder","2014-10-01",3,3922
"Marc Fournier","2014-10-01",6,3922
"Sven Trenkel","2014-10-01",1,3922
"Daryder","2014-11-01",1,3922
"Florian Forster","2014-11-01",13,3922
"Jeremy Katz","2014-11-01",2,3922
"Marc Fournier","2014-11-01",1,3922
"Vincent Bernat","2014-11-01",3,3922
"Yoga Ramalingam","2014-11-01",1,3922
"Daryder","2014-12-01",2,3922
"Florian Forster","2014-12-01",2,3922
"Yoga Ramalingam","2014-12-01",2,3922
"Daryder","2015-01-01",1,3922
"Pierre-Yves Ritschard","2015-01-01",2,3922
"Sven Trenkel","2015-01-01",2,3922
"Andres J. Diaz","2015-02-01",2,3922
"Florian Forster","2015-02-01",2,3922
"Vincent Brillault","2015-02-01",12,3922
"Daryder","2015-03-01",1,3922
"Florian Forster","2015-03-01",3,3922
"Ruben Kerkhof","2015-03-01",1,3922
"Florian Forster","2015-04-01",1,3922
"Jiri Tyr","2015-04-01",1,3922
"Marc Fournier","2015-04-01",1,3922
"Sebastian Harl","2015-04-01",1,3922
"Vincent Brillault","2015-04-01",8,3922
"Dagobert Michelsen","2015-05-01",13,3922
"Florian Forster","2015-05-01",10,3922
"Vincent Brillault","2015-05-01",1,3922
"Florian Forster","2015-06-01",100,3922
"Marc Fournier","2015-06-01",1,3922
"Ruben Kerkhof","2015-06-01",3,3922
"Florian Forster","2015-07-01",40,3922
"Ruben Kerkhof","2015-07-01",6,3922
"Florian Forster","2015-08-01",5,3922
"Marc Fournier","2015-08-01",1,3922
"Ruben Kerkhof","2015-08-01",3,3922
"Claudius Zingerli","2015-09-01",7,3922
"Damian Bogel","2015-09-01",1,3922
"Florian Forster","2015-09-01",2,3922
"Ruben Kerkhof","2015-09-01",1,3922
"Marc Fournier","2015-10-01",5,3922
"Sven Trenkel","2015-10-01",2,3922
"Florian Forster","2015-11-01",20,3922
"Marc Fournier","2015-11-01",3,3922
"Nicolas Jourden","2015-11-01",5,3922
"Ruben Kerkhof","2015-11-01",16,3922
"Claudius Zingerli","2015-12-01",2,3922
"Florian Forster","2015-12-01",44,3922
"Nicolas Jourden","2015-12-01",3,3922
"Ruben Kerkhof","2015-12-01",31,3922
"Aurelien Rougemont","2016-01-01",1,3922
"Florian Forster","2016-01-01",1,3922
"Ruben Kerkhof","2016-01-01",1,3922
"Claudius Zingerli","2016-02-01",3,3922
"Ruben Kerkhof","2016-02-01",9,3922
"Maryam Tahhan","2016-03-01",1,3922
"Pavel Rochnyack","2016-03-01",1,3922
"Ruben Kerkhof","2016-03-01",51,3922
"Claudius Zingerli","2016-04-01",2,3922
"Harry Van Haaren","2016-04-01",1,3922
"Maryam Tahhan","2016-04-01",3,3922
"Pierre-Yves Ritschard","2016-04-01",2,3922
"Ruben Kerkhof","2016-04-01",57,3922
"Maryam Tahhan","2016-05-01",3,3922
"Pavel Rochnyack","2016-05-01",2,3922
"Pierre-Yves Ritschard","2016-05-01",1,3922
"Sebastian Harl","2016-05-01",5,3922
"Claudius Zingerli","2016-06-01",2,3922
"Maryam Tahhan","2016-06-01",1,3922
"Ruben Kerkhof","2016-06-01",1,3922
"Sebastian Harl","2016-06-01",14,3922
"Florian Forster","2016-07-01",6,3922
"Rinigus","2016-07-01",4,3922
"Ruben Kerkhof","2016-07-01",29,3922
"Florian Forster","2016-08-01",18,3922
"Julien Ammous","2016-08-01",1,3922
"Mytnyk, Volodymyrx","2016-08-01",1,3922
"Rinigus","2016-08-01",3,3922
"Ruben Kerkhof","2016-08-01",45,3922
"Sven Trenkel","2016-08-01",6,3922
"Benjamin Gilbert","2016-09-01",1,3922
"Florian Forster","2016-09-01",45,3922
"Maryam Tahhan","2016-09-01",1,3922
"Mytnyk, Volodymyrx","2016-09-01",7,3922
"Pavel Rochnyack","2016-09-01",1,3922
"Pshyk, Serhiyx","2016-09-01",1,3922
"Rinigus","2016-09-01",1,3922
"Sebastian Harl","2016-09-01",1,3922
"Taras Chornyi","2016-09-01",5,3922
"Florian Forster","2016-10-01",22,3922
"Marc Fournier","2016-10-01",1,3922
"Mytnyk, Volodymyrx","2016-10-01",4,3922
"Pshyk, Serhiyx","2016-10-01",1,3922
"Florian Forster","2016-11-01",26,3922
"Francesco Romani","2016-11-01",1,3922
"Korynkevych, Romanx","2016-11-01",1,3922
"Krzysztof Matczak","2016-11-01",1,3922
"Marc Fournier","2016-11-01",1,3922
"Mytnyk, Volodymyrx","2016-11-01",3,3922
"Ruben Kerkhof","2016-11-01",3,3922
"Taras Chornyi","2016-11-01",1,3922
"Florian Forster","2016-12-01",9,3922
"Korynkevych, Romanx","2016-12-01",5,3922
"Krzysztof Matczak","2016-12-01",4,3922
"Mytnyk, Volodymyrx","2016-12-01",1,3922
"Ruben Kerkhof","2016-12-01",8,3922
"Korynkevych, Romanx","2017-01-01",1,3922
"Krzysztof Matczak","2017-01-01",2,3922
"Mytnyk, Volodymyrx","2017-01-01",2,3922
"Krzysztof Matczak","2017-02-01",1,3922
"Maryam Tahhan","2017-02-01",4,3922
"Mytnyk, Volodymyrx","2017-02-01",1,3922
"Ruben Kerkhof","2017-02-01",1,3922
"Korynkevych, Romanx","2017-03-01",1,3922
"Krzysztof Matczak","2017-03-01",1,3922
"Mytnyk, Volodymyrx","2017-03-01",2,3922
"Ruben Kerkhof","2017-03-01",3,3922
"Taras Chornyi","2017-03-01",1,3922
"Florian Forster","2017-04-01",5,3922
"Krzysztof Matczak","2017-04-01",1,3922
"Maryam Tahhan","2017-04-01",1,3922
"Ruben Kerkhof","2017-04-01",1,3922
"Florian Forster","2017-05-01",29,3922
"Maryam Tahhan","2017-05-01",2,3922
"Pshyk, Serhiyx","2017-05-01",4,3922
"Ruben Kerkhof","2017-05-01",2,3922
"Marc Fournier","2017-06-01",1,3922
"Mozejko, Marcinx","2017-06-01",1,3922
"Pshyk, Serhiyx","2017-06-01",1,3922
"Florian Forster","2017-07-01",1,3922
"Korynkevych, Romanx","2017-07-01",1,3922
"Marek Becka","2017-07-01",2,3922
"Maryam Tahhan","2017-07-01",1,3922
"Mozejko, Marcinx","2017-07-01",1,3922
"Ruben Kerkhof","2017-07-01",13,3922
"Sven Trenkel","2017-07-01",1,3922
"Andrew Smith","2017-08-01",1,3922
"Florian Forster","2017-08-01",3,3922
"Kamil Wiatrowski","2017-08-01",1,3922
"Pshyk, Serhiyx","2017-08-01",1,3922
"Florian Forster","2017-09-01",8,3922
"Pavel Rochnyack","2017-09-01",1,3922
"Vincent Brillault","2017-09-01",3,3922
"Campbellsean@Google.Com","2017-10-01",7,3922
"Florian Forster","2017-10-01",14,3922
"Pshyk, Serhiyx","2017-10-01",1,3922
"Wilfried Goesgens","2017-10-01",5,3922
"Florian Forster","2017-11-01",28,3922
"Marc Fournier","2017-11-01",2,3922
"Andrew Bays","2017-12-01",10,3922
"Florian Forster","2017-12-01",16,3922
"Mozejko, Marcinx","2017-12-01",2,3922
"Andrew Bays","2018-01-01",10,3922
"Andrew Smith","2018-01-01",2,3922
"Mozejko, Marcinx","2018-01-01",1,3922
"Andrew Bays","2018-02-01",21,3922
"Kamil Wiatrowski","2018-02-01",5,3922
"Mozejko, Marcinx","2018-02-01",1,3922
"Radoslaw Jablonski","2018-02-01",1,3922
"Andralojc, Wojciechx","2018-03-01",1,3922
"Andrew Bays","2018-03-01",5,3922
"Radoslaw Jablonski","2018-03-01",2,3922
"Rafael Marinheiro","2018-03-01",1,3922
"Andrew Smith","2018-04-01",2,3922
"Mozejko, Marcinx","2018-04-01",1,3922
"Ruben Kerkhof","2018-04-01",1,3922
"Andrew Smith","2018-05-01",3,3922
"Kamil Wiatrowski","2018-05-01",1,3922
"Michael Kaufmann","2018-05-01",1,3922
"Pavel Rochnyack","2018-05-01",2,3922
"Radoslaw Jablonski","2018-05-01",1,3922
"Rafael Marinheiro","2018-05-01",3,3922
"Ruben Kerkhof","2018-05-01",46,3922
"Kamil Wiatrowski","2018-06-01",1,3922
"Mozejko, Marcinx","2018-06-01",3,3922
"Pavel Rochnyack","2018-06-01",15,3922
"Rafael Marinheiro","2018-06-01",1,3922
"Ruben Kerkhof","2018-06-01",5,3922
"Sean Campbell","2018-06-01",1,3922
"Starzyk, Mateuszx","2018-06-01",1,3922
"Andrew Bays","2018-07-01",2,3922
"Mozejko, Marcinx","2018-07-01",2,3922
"Pavel Rochnyack","2018-07-01",2,3922
"Sean Campbell","2018-07-01",1,3922
"Pavel Rochnyack","2018-08-01",2,3922
"Themylogin","2018-08-01",1,3922
"Evgeny Naumov","2018-09-01",4,3922
"Mozejko, Marcinx","2018-09-01",1,3922
"Ruben Kerkhof","2018-09-01",1,3922
"Aleksinski, Michalx","2018-10-01",1,3922
"Andrew Bays","2018-10-01",30,3922
"Evgeny Naumov","2018-10-01",3,3922
"Florian Forster","2018-10-01",18,3922
"Mozejko, Marcinx","2018-10-01",1,3922
"Pavel Rochnyack","2018-10-01",4,3922
"Aleksinski, Michalx","2018-11-01",1,3922
"Andrew Bays","2018-11-01",14,3922
"Florian Forster","2018-11-01",1,3922
"Pavel Rochnyack","2018-12-01",6,3922
"Ruben Kerkhof","2018-12-01",19,3922
"Shirly Radco","2018-12-01",1,3922
"Pablo Llopis","2019-01-01",5,3922
"Aleksinski, Michalx","2019-02-01",1,3922
"Florian Forster","2019-02-01",4,3922
"Pavel Rochnyack","2019-02-01",1,3922
"Ruben Kerkhof","2019-02-01",7,3922
"Pavel Rochnyack","2019-03-01",1,3922
"Kamil Wiatrowski","2019-04-01",1,3922
"Pablo Llopis","2019-04-01",1,3922
"Usev6","2019-04-01",2,3922
"Carlos Peon Costa","2019-05-01",1,3922
"Kamil Wiatrowski","2019-05-01",1,3922
"Pablo Llopis","2019-05-01",1,3922
"Pavel Rochnyack","2019-05-01",25,3922
"Reshma Pattan","2019-05-01",1,3922
"Zebity Spring","2019-05-01",8,3922
"Andrew Bays","2019-06-01",19,3922
"Dagobert Michelsen","2019-06-01",4,3922
"Fabien Wernli","2019-06-01",4,3922
"Marco Van Tol","2019-06-01",3,3922
"Fabien Wernli","2019-07-01",4,3922
"Pavel Rochnyack","2019-07-01",4,3922
"Pierre Lebleu","2019-07-01",2,3922
"Zebity Spring","2019-07-01",4,3922
"Robert Dietrich","2019-08-01",5,3922
"Ruben Kerkhof","2019-08-01",1,3922
"Andrew Bays","2019-09-01",4,3922
"Kamil Wiatrowski","2019-09-01",1,3922
"Marco Van Tol","2019-09-01",2,3922
"Reshma Pattan","2019-09-01",1,3922
"Tg, Hari","2019-09-01",3,3922
"Zebity Spring","2019-09-01",1,3922
"Asaf Kahlon","2019-10-01",5,3922
"Reshma Pattan","2019-10-01",3,3922
"Ruben Kerkhof","2019-10-01",10,3922
"Kamil Wiatrowski","2019-11-01",1,3922
"Marco Van Tol","2019-11-01",1,3922
"Tg, Hari","2019-12-01",1,3922
"Michal Kobylinski","2020-01-01",1,3922
"Kamil Wiatrowski","2020-02-01",1,3922
"Marco Van Tol","2020-02-01",1,3922
"Pablo Llopis","2020-02-01",4,3922
"Takuro Ashie","2020-02-01",1,3922
"Kamil Wiatrowski","2020-03-01",1,3922
"Wilfried Goesgens","2020-03-01",5,3922
"Florian Forster","2020-05-01",1,3922
"Kamil Wiatrowski","2020-05-01",1,3922
"Carlos Peon Costa","2020-06-01",1,3922
"Luke Yeager","2020-06-01",1,3922
"Edgar Fuss","2020-07-01",3,3922
"Kamil Wiatrowski","2020-07-01",1,3922
"Kotlowski, Bartlomiej","2020-07-01",3,3922
"Luke Yeager","2020-07-01",6,3922
"Florian Forster","2020-08-01",2,3922
"Pablo Llopis","2020-08-01",1,3922
"Florian Forster","2020-09-01",1,3922
